年度	リーグ	順位	選手	チーム	打率	試合	打席	打数	得点	安打	二塁打	三塁打	本塁打	塁打	打点	盗塁	盗塁刺	犠打	犠飛	四球	故意四	死球	三振	併殺打	長打率	出塁率
2020	C	4	大島　洋平	(中)	0.316	118	525	462	58	146	21	3	1	176	30	16	8	9	3	47	3	4	51	5	0.381	0.382
2020	C	5	村上　宗隆	(ヤ)	0.307	120	515	424	70	130	30	2	28	248	86	11	5	0	1	87	12	3	115	8	0.585	0.427
2020	C	6	高橋　周平	(中)	0.305	108	438	394	46	120	25	1	7	168	46	1	1	0	3	39	6	2	70	13	0.426	0.368
2020	C	7	宮﨑　敏郎	(デ)	0.301	113	460	429	47	129	26	1	14	199	53	0	0	0	3	24	2	4	29	15	0.464	0.341
2020	C	8	鈴木　誠也	(広)	0.3	118	514	430	85	129	26	2	25	234	75	6	4	0	3	72	9	9	73	15	0.544	0.409
2020	C	9	近本　光司	(神)	0.293	120	519	474	81	139	21	5	9	197	45	31	8	7	1	30	2	7	61	4	0.416	0.344
2020	C	10	坂本　勇人	(巨)	0.289	115	479	412	64	119	28	1	19	206	65	4	1	1	4	62	7	0	85	9	0.5	0.379
2020	C	11	大山　悠輔	(神)	0.288	116	471	423	66	122	21	5	28	237	85	1	3	1	1	41	6	5	96	15	0.56	0.357
2020	C	12	丸　佳浩	(巨)	0.284	120	491	423	63	120	31	1	27	234	77	8	4	3	2	63	4	0	101	3	0.553	0.375
2020	C	13	堂林　翔太	(広)	0.279	111	451	401	55	112	21	0	14	175	58	17	4	3	2	41	2	4	91	12	0.436	0.35
2020	C	14	松山　竜平	(広)	0.277	108	425	404	38	112	27	1	9	168	67	0	1	0	3	17	4	1	72	11	0.416	0.306
2020	C	15	岡本　和真	(巨)	0.275	118	500	440	79	121	26	0	31	240	97	2	0	0	0	55	2	5	85	10	0.545	0.362
2020	C	16	吉川　尚輝	(巨)	0.274	112	389	354	47	97	16	2	8	141	32	11	3	2	0	30	4	3	60	6	0.398	0.336
2020	C	17	エスコバー	(ヤ)	0.273	104	402	377	27	103	14	2	1	124	30	6	7	1	2	13	6	9	52	9	0.329	0.312
2020	C	18	菊池　涼介	(広)	0.271	106	429	376	43	102	19	4	10	159	41	3	2	16	1	35	2	1	68	9	0.423	0.334
2020	C	19	ビシエド	(中)	0.267	109	462	409	48	109	23	0	17	183	82	3	2	0	10	34	3	9	48	17	0.447	0.329
2020	C	20	サンズ	(神)	0.257	110	443	377	47	97	16	0	19	170	64	2	1	0	2	61	2	3	106	11	0.451	0.363
2020	C	21	阿部　寿樹	(中)	0.257	115	459	421	44	108	25	0	13	172	61	2	4	5	2	30	0	1	92	21	0.409	0.306
2020	C	22	山田　哲人	(ヤ)	0.254	94	384	334	52	85	17	1	12	140	52	8	4	0	2	48	3	0	83	6	0.419	0.346
2020	C	23	ソト	(デ)	0.252	114	480	428	59	108	18	0	25	201	78	0	0	0	5	44	0	3	103	12	0.47	0.323
2020	C	24	田中　広輔	(広)	0.251	112	454	378	51	95	11	5	8	140	39	8	4	12	4	55	3	5	86	1	0.37	0.351
2020	C	25	京田　陽太	(中)	0.247	120	491	442	43	109	16	7	5	154	29	8	4	15	1	27	4	6	80	4	0.348	0.298
2020	C	26	坂口　智隆	(ヤ)	0.246	114	458	398	55	98	14	1	9	141	36	4	5	3	3	47	1	7	60	8	0.354	0.334
2020	C	27	ボーア	(神)	0.243	99	379	329	27	80	8	0	17	139	45	1	1	0	2	45	5	3	88	13	0.422	0.338
2019	C	1	鈴木　誠也	(広)	0.335	140	612	499	112	167	31	0	28	282	87	25	16	0	3	103	12	7	81	3	0.565	0.453
2019	C	2	ビシエド	(中)	0.315	143	594	534	56	168	43	0	18	265	93	2	1	0	6	41	9	13	88	22	0.496	0.374
2019	C	3	糸井　嘉男	(神)	0.314	103	444	382	45	120	22	1	5	159	42	9	5	0	3	52	7	7	63	10	0.416	0.403
2019	C	4	大島　洋平	(中)	0.312	143	623	558	89	174	23	3	3	212	45	30	7	3	3	50	3	9	78	5	0.38	0.376
2019	C	5	坂本　勇人	(巨)	0.312	143	639	555	103	173	26	0	40	319	94	5	3	3	2	77	6	2	123	9	0.575	0.396
2019	C	6	西川　龍馬	(広)	0.297	138	585	535	70	159	23	3	16	236	64	6	7	11	5	32	4	2	81	9	0.441	0.336
2019	C	7	青木　宣親	(ヤ)	0.297	134	565	489	84	145	19	2	16	216	58	1	2	1	3	61	2	11	72	13	0.442	0.385
2019	C	8	高橋　周平	(中)	0.293	117	471	430	50	126	28	5	7	185	59	3	4	5	1	32	7	3	70	10	0.43	0.345
2019	C	9	丸　佳浩	(巨)	0.292	143	631	535	82	156	26	1	27	265	89	12	5	0	7	86	3	3	125	15	0.495	0.388
2019	C	10	阿部　寿樹	(中)	0.291	129	484	447	51	130	24	3	7	181	59	1	0	3	2	31	3	1	82	9	0.405	0.337
2019	C	11	亀井　善行	(巨)	0.284	131	503	450	67	128	27	2	13	198	55	9	1	3	5	45	3	0	91	6	0.44	0.346
2019	C	12	宮﨑　敏郎	(デ)	0.284	114	473	433	54	123	22	1	15	192	49	0	0	0	5	32	2	3	35	13	0.443	0.334
2019	C	13	バレンティン	(ヤ)	0.28	120	468	410	65	115	13	0	33	227	93	0	1	0	3	54	3	1	117	11	0.554	0.363
2019	C	14	神里　和毅	(デ)	0.279	123	458	427	62	119	31	3	6	174	35	15	10	3	0	26	2	2	121	7	0.407	0.323
2019	C	15	會澤　翼	(広)	0.277	126	447	376	38	104	21	2	12	165	63	2	1	3	0	58	5	10	81	6	0.439	0.387
2019	C	16	雄平	(ヤ)	0.273	131	493	447	55	122	19	0	12	177	56	4	3	1	6	37	4	2	71	4	0.396	0.327
2019	C	17	筒香　嘉智	(デ)	0.272	131	557	464	74	126	24	0	29	237	79	0	0	0	3	88	5	2	141	5	0.511	0.388
2019	C	18	近本　光司	(神)	0.271	142	640	586	81	159	20	7	9	220	42	36	15	14	3	31	2	6	110	2	0.375	0.313
2019	C	19	山田　哲人	(ヤ)	0.271	142	641	520	102	141	35	5	35	291	98	33	3	0	5	110	7	6	121	14	0.56	0.401
2019	C	20	ソト	(デ)	0.269	141	584	516	82	139	18	0	43	286	108	0	0	0	4	59	4	5	98	14	0.554	0.348
2019	C	21	中村　悠平	(ヤ)	0.269	126	450	372	42	100	24	2	5	143	36	1	4	13	2	53	3	10	64	11	0.384	0.373
2019	C	22	糸原　健斗	(神)	0.267	143	572	491	66	131	20	4	2	165	45	6	5	11	3	60	2	7	70	7	0.336	0.353
2019	C	23	梅野　隆太郎	(神)	0.266	129	492	433	49	115	22	3	9	170	59	14	3	16	3	34	4	6	83	16	0.393	0.326
2019	C	24	岡本　和真	(巨)	0.265	143	628	555	84	147	29	0	31	269	94	3	0	2	3	62	3	6	132	15	0.485	0.343
2019	C	25	菊池　涼介	(広)	0.261	138	619	547	77	143	36	2	13	222	48	14	5	28	2	41	0	1	102	5	0.406	0.313
2019	C	26	大山　悠輔	(神)	0.258	143	587	538	52	139	33	1	14	216	76	3	0	1	4	39	3	5	98	12	0.401	0.312
2019	C	27	京田　陽太	(中)	0.249	140	574	507	46	126	14	5	3	159	40	17	7	24	3	37	3	3	91	10	0.314	0.302
2019	C	28	ロペス	(デ)	0.241	142	597	551	69	133	28	0	31	254	84	0	0	0	3	39	6	4	107	18	0.461	0.295
2019	C	29	大和	(デ)	0.237	137	490	438	42	104	17	2	0	125	37	3	1	10	2	34	1	6	75	7	0.285	0.3
2019	C	30	村上　宗隆	(ヤ)	0.231	143	593	511	76	118	20	0	36	246	96	5	4	0	3	74	5	5	184	9	0.481	0.332
2018	C	1	ビシエド	(中)	0.348	135	582	512	91	178	26	1	26	284	99	3	4	0	4	51	4	15	61	24	0.555	0.419
2018	C	2	坂本　勇人	(巨)	0.345	109	502	441	87	152	27	2	18	237	67	9	5	0	0	61	10	0	83	4	0.537	0.424
2018	C	3	平田　良介	(中)	0.329	138	568	493	83	162	26	5	9	225	55	8	7	2	3	67	4	3	69	7	0.456	0.41
2018	C	4	青木　宣親	(ヤ)	0.327	127	567	495	85	162	37	3	10	235	67	3	4	0	2	51	1	19	48	13	0.475	0.409
2018	C	5	アルモンテ	(中)	0.321	132	546	498	56	160	37	0	15	242	77	1	1	0	3	44	1	1	95	16	0.486	0.375
2018	C	6	鈴木　誠也	(広)	0.32	124	520	422	86	135	32	2	30	261	94	4	4	0	5	88	2	5	116	4	0.618	0.438
2018	C	7	雄平	(ヤ)	0.318	125	482	446	50	142	19	1	11	196	67	6	1	0	2	33	5	1	62	13	0.439	0.365
2018	C	8	宮﨑　敏郎	(デ)	0.318	142	590	551	71	175	34	0	28	293	71	0	0	0	0	38	3	1	45	16	0.532	0.363
2018	C	9	坂口　智隆	(ヤ)	0.317	139	595	508	64	161	22	4	3	200	37	9	7	7	2	75	5	3	60	15	0.394	0.406
2018	C	10	山田　哲人	(ヤ)	0.315	140	637	524	130	165	30	4	34	305	89	33	4	0	3	106	5	4	119	8	0.582	0.432
2018	C	11	ソト	(デ)	0.31	107	459	416	74	129	16	0	41	268	95	0	1	0	5	29	2	9	100	5	0.644	0.364
2018	C	12	岡本　和真	(巨)	0.309	143	616	540	82	167	26	0	33	292	100	2	1	0	0	72	1	4	120	11	0.541	0.394
2018	C	13	糸井　嘉男	(神)	0.308	119	509	419	60	129	24	0	16	201	68	22	3	0	5	77	4	8	63	9	0.48	0.42
2018	C	14	丸　佳浩	(広)	0.306	125	566	432	109	132	22	0	39	271	97	10	10	0	1	130	8	3	130	5	0.627	0.468
2018	C	15	松山　竜平	(広)	0.302	124	446	397	46	120	25	2	12	185	74	2	0	0	5	42	4	2	46	10	0.466	0.368
2018	C	16	筒香　嘉智	(デ)	0.295	139	580	495	77	146	33	1	38	295	89	0	0	0	3	80	7	2	107	10	0.596	0.393
2018	C	17	ロペス	(デ)	0.288	110	459	441	46	127	23	0	26	228	77	0	0	0	1	16	1	1	58	12	0.517	0.314
2018	C	18	野間　峻祥	(広)	0.286	126	447	405	64	116	14	7	5	159	46	17	10	4	2	30	0	6	69	2	0.393	0.343
2018	C	19	糸原　健斗	(神)	0.286	143	637	531	79	152	29	4	1	192	35	6	4	9	4	86	1	7	73	5	0.362	0.39
2018	C	20	マギー	(巨)	0.285	132	547	499	65	142	28	0	21	233	84	2	0	0	6	41	1	1	92	12	0.467	0.336
2018	C	21	福留　孝介	(神)	0.28	123	499	414	57	116	26	2	14	188	72	2	1	0	7	73	2	5	90	10	0.454	0.389
2018	C	22	大島　洋平	(中)	0.274	141	645	588	92	161	20	7	7	216	57	21	9	1	5	47	2	4	80	2	0.367	0.329
2018	C	23	バレンティン	(ヤ)	0.268	142	602	514	72	138	22	0	38	274	131	1	1	0	3	85	5	0	121	15	0.533	0.37
2018	C	24	田中　広輔	(広)	0.262	143	675	572	92	150	19	10	10	219	60	32	13	6	5	75	3	17	118	6	0.383	0.362
2018	C	25	福田　永将	(中)	0.261	133	487	440	50	115	22	1	13	178	63	0	0	0	5	37	1	5	119	13	0.405	0.322
2018	C	26	梅野　隆太郎	(神)	0.259	132	455	386	45	100	27	1	8	153	47	5	1	28	1	39	3	1	67	6	0.396	0.328
2018	C	27	高橋　周平	(中)	0.254	128	477	433	35	110	26	2	11	173	69	0	0	8	3	30	1	3	89	9	0.4	0.305
2018	C	28	亀井　善行	(巨)	0.254	123	461	422	47	107	20	0	13	166	49	4	0	0	1	36	2	2	70	6	0.393	0.315
2018	C	29	西浦　直亨	(ヤ)	0.242	138	550	479	57	116	28	0	10	174	55	1	2	20	3	40	1	8	88	10	0.363	0.309
2018	C	30	京田　陽太	(中)	0.235	143	632	578	73	136	15	7	4	177	44	20	10	26	3	19	0	6	111	12	0.306	0.266
2018	C	31	菊池　涼介	(広)	0.233	139	642	557	85	130	27	1	13	198	60	10	2	30	1	51	2	3	111	5	0.355	0.301
2017	C	1	宮﨑　敏郎	(デ)	0.323	128	523	480	53	155	28	1	15	230	62	0	0	0	1	38	1	4	47	23	0.479	0.377
2017	C	2	マギー	(巨)	0.315	139	586	523	67	165	48	1	18	269	77	4	1	0	4	58	4	1	107	20	0.514	0.382
2017	C	3	大島　洋平	(中)	0.313	119	521	476	50	149	20	3	3	184	29	23	6	1	3	37	0	4	66	5	0.387	0.365
2017	C	4	安部　友裕	(広)	0.31	123	455	413	63	128	17	4	4	165	49	17	5	12	1	27	1	2	94	3	0.4	0.354
2017	C	5	丸　佳浩	(広)	0.308	143	651	556	109	171	35	3	23	281	92	13	3	2	6	83	0	4	113	6	0.505	0.398
2017	C	6	ロペス	(デ)	0.301	142	606	569	72	171	42	0	30	303	105	0	0	0	8	27	0	2	80	14	0.533	0.33
2017	C	7	鈴木　誠也	(広)	0.3	115	512	437	85	131	28	1	26	239	90	16	6	0	7	62	0	6	80	12	0.547	0.389
2017	C	8	鳥谷　敬	(神)	0.293	143	570	488	57	143	23	3	4	184	41	8	7	1	2	77	3	2	62	13	0.377	0.39
2017	C	9	坂本　勇人	(巨)	0.291	142	614	539	82	157	30	0	15	232	61	14	6	1	3	68	2	3	85	16	0.43	0.372
2017	C	10	糸井　嘉男	(神)	0.29	114	493	427	60	124	16	0	17	191	62	21	6	0	2	59	0	5	62	12	0.447	0.381
2017	C	11	田中　広輔	(広)	0.29	143	679	565	105	164	32	5	8	230	60	35	13	6	4	89	2	15	120	5	0.407	0.398
2017	C	12	坂口　智隆	(ヤ)	0.29	136	607	535	51	155	16	2	4	187	38	4	3	5	3	59	2	5	76	6	0.35	0.364
2017	C	13	筒香　嘉智	(デ)	0.284	139	601	503	85	143	31	0	28	258	94	1	0	0	3	93	3	2	115	7	0.513	0.396
2017	C	14	上本　博紀	(神)	0.284	125	488	409	57	116	20	1	9	165	38	16	1	23	2	50	0	4	71	7	0.403	0.366
2017	C	15	ゲレーロ	(中)	0.279	130	510	469	67	131	22	3	35	264	86	1	0	0	2	24	0	15	98	13	0.563	0.333
2017	C	16	菊池　涼介	(広)	0.271	138	629	565	87	153	28	3	14	229	56	8	7	30	1	32	0	1	107	9	0.405	0.311
2017	C	17	桑原　将志	(デ)	0.269	143	664	598	87	161	38	5	13	248	52	10	11	10	0	45	0	11	116	8	0.415	0.332
2017	C	18	京田　陽太	(中)	0.264	141	602	564	67	149	23	8	4	200	36	23	13	10	1	18	0	9	105	5	0.355	0.297
2017	C	19	福留　孝介	(神)	0.263	127	526	441	68	116	20	3	18	196	79	1	2	1	4	77	1	3	92	17	0.444	0.373
2017	C	20	倉本　寿彦	(デ)	0.262	143	539	507	49	133	27	1	2	168	50	3	1	9	1	18	0	4	102	10	0.331	0.292
2017	C	21	阿部　慎之助	(巨)	0.262	129	512	455	41	119	13	0	15	177	76	0	1	1	7	41	1	8	67	13	0.389	0.329
2017	C	22	長野　久義	(巨)	0.261	134	516	463	52	121	20	3	16	195	46	6	0	1	1	46	2	5	98	17	0.421	0.334
2017	C	23	バレンティン	(ヤ)	0.254	125	519	445	60	113	14	1	32	225	80	0	1	0	1	70	0	3	112	18	0.506	0.358
2017	C	24	山田　哲人	(ヤ)	0.247	143	624	526	79	130	25	1	24	229	78	14	4	0	1	91	1	6	132	15	0.435	0.364
2017	C	25	中村　悠平	(ヤ)	0.243	127	486	419	42	102	14	4	4	136	34	2	1	11	4	42	0	10	65	14	0.325	0.324
2017	C	26	梶谷　隆幸	(デ)	0.243	137	578	511	83	124	27	2	21	218	60	21	3	0	2	62	2	3	157	10	0.427	0.327
2017	C	27	中谷　将大	(神)	0.241	133	455	411	64	99	21	1	20	182	61	2	1	0	3	36	2	5	96	5	0.443	0.308
2017	C	28	小林　誠司	(巨)	0.206	138	443	378	25	78	11	1	2	97	27	2	0	19	3	41	4	2	64	12	0.257	0.285
2016	C	1	坂本　勇人	(巨)	0.344	137	576	488	96	168	28	3	23	271	75	13	3	1	6	81	2	0	67	6	0.555	0.433
2016	C	2	鈴木　誠也	(広)	0.335	129	528	466	76	156	26	8	29	285	95	16	11	3	3	53	1	3	79	10	0.612	0.404
2016	C	3	筒香　嘉智	(デ)	0.322	133	561	469	89	151	28	4	44	319	110	0	1	0	2	87	1	3	105	6	0.68	0.43
2016	C	4	菊池　涼介	(広)	0.315	141	640	574	92	181	22	3	13	248	56	13	5	23	3	40	0	0	106	3	0.432	0.358
2016	C	5	福留　孝介	(神)	0.311	131	523	453	52	141	25	3	11	205	59	0	1	0	6	61	5	3	78	6	0.453	0.392
2016	C	6	山田　哲人	(ヤ)	0.304	133	590	481	102	146	26	3	38	292	102	30	2	0	4	97	0	8	101	16	0.607	0.425
2016	C	7	村田　修一	(巨)	0.302	143	576	529	58	160	32	0	25	267	81	1	3	2	2	38	0	5	83	21	0.505	0.354
2016	C	8	川端　慎吾	(ヤ)	0.302	103	458	420	48	127	22	1	1	154	32	3	0	1	2	34	0	1	31	13	0.367	0.354
2016	C	9	新井　貴浩	(広)	0.3	132	513	454	66	136	23	2	19	220	101	0	1	0	4	54	1	1	101	12	0.485	0.372
2016	C	10	坂口　智隆	(ヤ)	0.295	141	607	526	74	155	14	5	0	179	39	7	4	5	5	63	0	8	66	5	0.34	0.375
2016	C	11	倉本　寿彦	(デ)	0.294	141	566	534	38	157	19	2	1	183	38	2	3	5	3	22	0	2	98	13	0.343	0.323
2016	C	12	大島　洋平	(中)	0.292	143	656	599	80	175	27	9	3	229	27	26	12	4	1	46	1	6	69	3	0.382	0.348
2016	C	13	丸　佳浩	(広)	0.291	143	652	557	98	162	30	8	20	268	90	23	9	1	3	84	1	7	107	9	0.481	0.389
2016	C	14	桑原　将志	(デ)	0.284	133	522	462	80	131	23	2	11	191	49	19	11	8	0	38	0	14	93	5	0.413	0.356
2016	C	15	長野　久義	(巨)	0.283	143	618	576	58	163	28	4	11	232	42	8	2	1	3	33	0	5	78	7	0.403	0.326
2016	C	16	髙山　俊	(神)	0.275	134	530	494	48	136	23	5	8	193	65	5	4	2	3	27	1	4	109	8	0.391	0.316
2016	C	17	ビシエド	(中)	0.274	119	471	416	63	114	22	0	22	202	68	1	0	0	3	44	0	8	68	13	0.486	0.352
2016	C	18	梶谷　隆幸	(デ)	0.273	107	450	396	69	108	20	4	18	190	56	26	7	1	0	49	0	4	110	2	0.48	0.359
2016	C	19	バレンティン	(ヤ)	0.269	132	537	457	64	123	20	0	31	236	96	0	1	0	5	72	2	3	116	19	0.516	0.369
2016	C	20	田中　広輔	(広)	0.265	143	679	581	102	154	17	3	13	216	39	28	19	3	1	77	1	17	119	1	0.372	0.367
2016	C	21	ロペス	(デ)	0.263	123	518	483	66	127	27	1	34	258	95	0	0	0	7	24	0	4	75	12	0.534	0.299
2016	C	22	ギャレット	(巨)	0.258	123	465	422	48	109	22	1	24	205	68	0	1	0	0	39	0	4	106	10	0.486	0.327
2016	C	23	ゴメス	(神)	0.255	139	554	498	58	127	20	0	22	213	79	2	1	0	3	48	3	5	130	13	0.428	0.325
2016	C	24	堂上　直倫	(中)	0.254	131	507	456	38	116	25	3	6	165	46	1	1	20	2	27	0	2	69	14	0.362	0.298
2016	C	25	平田　良介	(中)	0.248	118	494	416	61	103	24	1	14	171	73	4	2	0	4	72	1	2	89	5	0.411	0.358
2016	C	26	鳥谷　敬	(神)	0.236	143	533	449	49	106	16	1	7	145	36	13	3	1	6	75	0	2	80	12	0.323	0.344
2016	C	27	小林　誠司	(巨)	0.204	129	458	398	27	81	12	1	4	107	35	2	1	19	1	36	5	4	76	10	0.269	0.276
2015	C	1	川端　慎吾	(ヤ)	0.336	143	632	581	87	195	34	1	8	255	57	4	3	2	2	43	0	3	72	15	0.439	0.383
2015	C	2	山田　哲人	(ヤ)	0.329	143	646	557	119	183	39	2	38	340	100	34	4	0	3	81	1	5	111	11	0.61	0.416
2015	C	3	筒香　嘉智	(デ)	0.317	138	568	496	79	157	28	1	24	259	93	0	0	0	2	68	0	2	98	5	0.522	0.4
2015	C	4	ルナ	(中)	0.292	134	564	496	61	145	26	1	8	197	60	11	0	0	6	57	2	5	77	13	0.397	0.367
2015	C	5	ロペス	(デ)	0.291	140	565	516	63	150	29	1	25	256	73	1	1	0	3	44	3	2	82	14	0.496	0.347
2015	C	6	平田　良介	(中)	0.283	130	559	491	76	139	27	3	13	211	53	11	7	1	0	64	1	3	86	5	0.43	0.369
2015	C	7	鳥谷　敬	(神)	0.281	143	646	551	69	155	21	4	6	202	42	9	6	2	3	89	2	1	77	8	0.367	0.38
2015	C	8	福留　孝介	(神)	0.281	140	569	495	53	139	24	3	20	229	76	1	2	1	7	65	1	1	75	15	0.463	0.361
2015	C	9	マートン	(神)	0.276	140	583	544	46	150	27	0	9	204	59	0	1	0	5	31	0	3	77	21	0.375	0.316
2015	C	10	梶谷　隆幸	(デ)	0.275	134	578	520	70	143	35	2	13	221	66	28	13	2	2	54	0	0	132	4	0.425	0.342
2015	C	11	新井　貴浩	(広)	0.275	125	480	426	52	117	22	2	7	164	57	3	0	0	4	48	1	2	73	15	0.385	0.348
2015	C	12	田中　広輔	(広)	0.274	141	590	543	61	149	33	9	8	224	45	6	7	5	1	34	2	7	105	8	0.413	0.325
2015	C	13	ゴメス	(神)	0.271	143	601	520	49	141	28	0	17	220	72	0	1	0	3	72	1	6	134	15	0.423	0.364
2015	C	14	エルナンデス	(中)	0.271	138	548	498	54	135	27	2	11	199	58	5	3	10	4	35	1	0	106	13	0.4	0.317
2015	C	15	雄平	(ヤ)	0.27	141	585	551	57	149	33	4	8	214	60	7	4	1	3	27	1	3	82	7	0.388	0.307
2015	C	16	坂本　勇人	(巨)	0.269	130	558	479	50	129	21	3	12	192	68	10	4	9	5	65	1	0	79	5	0.401	0.353
2015	C	17	畠山　和洋	(ヤ)	0.268	137	584	512	64	137	26	0	26	241	105	0	0	0	8	62	0	2	92	10	0.471	0.344
2015	C	18	大島　洋平	(中)	0.26	142	620	565	70	147	20	4	6	193	27	22	8	10	1	39	1	5	65	5	0.342	0.313
2015	C	19	バルディリス	(デ)	0.258	139	525	465	38	120	23	0	13	182	56	0	0	0	5	43	2	12	62	12	0.391	0.333
2015	C	20	菊池　涼介	(広)	0.254	143	644	562	62	143	20	3	8	193	32	19	9	49	2	29	2	2	92	7	0.343	0.292
2015	C	21	上本　博紀	(神)	0.253	108	452	375	44	95	18	1	4	127	31	19	11	29	0	44	1	4	69	1	0.339	0.338
2015	C	22	長野　久義	(巨)	0.251	130	479	434	49	109	20	3	15	180	52	3	2	5	2	34	0	4	81	12	0.415	0.31
2015	C	23	丸　佳浩	(広)	0.249	143	633	530	81	132	28	1	19	219	63	15	7	4	4	94	2	1	143	4	0.413	0.361
2015	C	24	中村　悠平	(ヤ)	0.231	136	502	442	36	102	14	0	2	122	33	3	2	14	2	40	1	4	80	9	0.276	0.299
2014	C	1	マートン	(神)	0.338	142	591	532	58	180	32	0	14	254	84	2	5	0	6	46	4	7	64	19	0.477	0.394
2014	C	2	菊池　涼介	(広)	0.325	144	654	579	88	188	39	2	11	264	58	23	10	43	5	24	0	3	79	9	0.456	0.352
2014	C	3	山田　哲人	(ヤ)	0.324	143	685	596	106	193	39	1	29	321	89	15	5	2	5	74	2	8	95	10	0.539	0.403
2014	C	4	大島　洋平	(中)	0.318	141	642	585	92	186	18	2	2	214	28	28	12	6	2	43	1	6	56	3	0.366	0.369
2014	C	5	ルナ	(中)	0.317	127	527	467	80	148	25	5	17	234	73	8	2	0	4	51	3	5	98	11	0.501	0.387
2014	C	6	雄平	(ヤ)	0.316	141	597	547	97	173	28	3	23	276	90	10	2	1	0	48	0	1	103	11	0.505	0.372
2014	C	7	鳥谷　敬	(神)	0.313	144	644	550	96	172	28	2	8	228	73	10	6	1	4	87	3	2	80	14	0.415	0.406
2014	C	8	畠山　和洋	(ヤ)	0.31	113	464	422	52	131	19	1	17	203	79	2	0	1	3	36	1	2	54	17	0.481	0.365
2014	C	9	丸　佳浩	(広)	0.31	144	644	536	106	166	30	5	19	263	67	26	11	0	4	100	3	4	95	12	0.491	0.419
2014	C	10	川端　慎吾	(ヤ)	0.305	142	637	580	86	177	33	2	10	244	69	2	2	8	3	43	1	3	62	10	0.421	0.355
2014	C	11	バレンティン	(ヤ)	0.301	112	446	366	61	110	12	0	31	215	69	2	0	0	3	75	5	2	95	10	0.587	0.419
2014	C	12	筒香　嘉智	(デ)	0.3	114	461	410	58	123	24	2	22	217	77	2	1	0	2	47	6	2	100	7	0.529	0.373
2014	C	13	長野　久義	(巨)	0.297	130	523	472	67	140	29	1	13	210	62	8	4	4	2	42	0	3	75	8	0.445	0.356
2014	C	14	森野　将彦	(中)	0.288	141	588	507	64	146	34	0	13	219	86	3	0	5	6	69	2	1	66	20	0.432	0.37
2014	C	15	ゴメス	(神)	0.283	143	616	537	81	152	30	2	26	264	109	1	0	0	4	67	0	8	166	17	0.492	0.369
2014	C	16	坂本　勇人	(巨)	0.279	144	616	545	82	152	29	0	16	229	61	23	5	9	5	55	1	2	88	3	0.42	0.344
2014	C	17	平田　良介	(中)	0.277	119	488	429	55	119	17	1	11	171	65	7	2	0	4	54	0	1	65	13	0.399	0.357
2014	C	18	上本　博紀	(神)	0.276	131	600	515	90	142	28	5	7	201	38	20	10	7	2	70	0	6	97	7	0.39	0.368
2014	C	19	荒木　雅博	(中)	0.268	109	471	395	46	106	17	2	1	130	21	17	1	33	1	39	1	3	63	7	0.329	0.338
2014	C	20	大和	(神)	0.264	121	481	398	54	105	17	1	1	127	24	11	7	50	1	28	1	4	52	7	0.319	0.318
2014	C	21	梶谷　隆幸	(デ)	0.263	142	609	525	76	138	26	9	16	230	72	39	8	3	4	70	5	7	135	12	0.438	0.355
2014	C	22	エルドレッド	(広)	0.26	118	505	454	71	118	18	0	37	247	104	2	0	0	3	41	3	7	169	8	0.544	0.329
2014	C	23	村田　修一	(巨)	0.256	143	575	519	49	133	17	0	21	213	68	2	2	0	4	39	1	13	83	22	0.41	0.322
2014	C	24	バルディリス	(デ)	0.255	139	510	451	44	115	29	1	17	197	52	0	1	0	5	43	2	11	66	20	0.437	0.331
2014	C	25	片岡　治大	(巨)	0.252	126	484	429	54	108	16	2	6	146	32	24	7	23	0	29	1	3	51	14	0.34	0.304
2014	C	26	石川　雄洋	(デ)	0.248	138	539	483	66	120	16	5	7	167	36	9	3	16	0	32	0	8	98	9	0.346	0.306
2014	C	27	阿部　慎之助	(巨)	0.248	131	526	459	49	114	24	0	19	195	57	1	3	0	2	58	5	7	77	16	0.425	0.34
2013	C	1	ブランコ	(デ)	0.333	134	558	483	74	161	22	0	41	306	136	1	1	0	4	62	6	9	118	10	0.634	0.416
2013	C	2	バレンティン	(ヤ)	0.33	130	547	439	94	145	17	0	60	342	131	0	0	0	4	103	9	1	105	14	0.779	0.455
2013	C	3	村田　修一	(巨)	0.316	144	595	519	76	164	26	0	25	265	87	1	1	6	7	50	1	13	74	11	0.511	0.385
2013	C	4	マートン	(神)	0.314	143	613	566	55	178	37	1	19	274	85	6	1	0	4	42	1	1	81	25	0.484	0.361
2013	C	5	ロペス	(巨)	0.303	121	467	429	45	130	26	0	18	210	55	1	1	5	3	25	1	5	57	12	0.49	0.346
2013	C	6	阿部　慎之助	(巨)	0.296	135	529	422	81	125	17	0	32	238	91	0	0	0	6	86	9	15	59	8	0.564	0.427
2013	C	7	西岡　剛	(神)	0.29	122	549	497	57	144	28	3	4	190	44	11	3	0	6	45	2	1	65	6	0.382	0.346
2013	C	8	森野　将彦	(中)	0.286	134	457	399	53	114	20	1	16	184	51	1	0	2	2	54	0	0	61	10	0.461	0.369
2013	C	9	鳥谷　敬	(神)	0.282	144	643	532	74	150	30	4	10	218	65	15	7	1	2	104	1	4	65	12	0.41	0.402
2013	C	10	長野　久義	(巨)	0.281	144	642	590	82	166	21	3	19	250	65	14	5	3	0	48	0	1	101	6	0.424	0.336
